,CATAID,WHAN classification,BPT classification
7406,105347,unclassified,unclassified
7407,105348,unclassified,unclassified
7408,105349,SF,SF
7409,105350,SF,SF
7410,105351,SF,SF
7411,105352,SF,SF
7412,105353,unclassified,unclassified
7413,105354,unclassified,unclassified
7414,105355,SF,SF
7415,105356,unclassified,unclassified
7416,105357,SF,unclassified
7417,105358,retired,LINERs
7418,105359,wAGN,LINERs
7419,105360,sAGN,composite
7420,105361,retired,seyfert
7421,105362,SF,SF
7422,105363,unclassified,unclassified
7423,105364,SF,SF
7424,105365,wAGN,composite
7425,105366,unclassified,unclassified
7426,105367,sAGN,composite
7427,105368,unclassified,unclassified
7428,105369,retired,SF
7429,105370,unclassified,unclassified
7430,105371,retired,unclassified
7431,105372,wAGN,composite
7432,105373,retired,LINERs
7433,105374,SF,SF
7434,105375,SF,SF
7435,105376,SF,SF
7436,105377,unclassified,unclassified
7437,105378,SF,SF
7438,105379,sAGN,seyfert
7439,105380,SF,SF
7440,105381,unclassified,unclassified
7441,105382,wAGN,unclassified
7442,105383,unclassified,unclassified
7443,105384,SF,SF
7444,105385,SF,unclassified
7445,105386,SF,unclassified
7446,105387,SF,composite
7447,105388,SF,unclassified
7448,105389,SF,SF
7449,105390,SF,SF
7450,105391,retired,unclassified
7451,105392,SF,SF
7452,105393,sAGN,composite
7453,105394,sAGN,composite
7454,105395,SF,SF
7455,105396,SF,unclassified
7456,105397,SF,unclassified
7457,105398,SF,SF
7458,105399,SF,composite
7459,105400,SF,SF
7460,105401,SF,SF
7461,105402,sAGN,composite
7462,105403,unclassified,unclassified
7463,105404,SF,composite
7464,105405,retired,unclassified
7465,105406,SF,SF
7466,105407,SF,SF
7467,105408,SF,unclassified
7468,105409,retired,unclassified
7469,105410,retired,composite
7470,105411,unclassified,unclassified
7471,105412,sAGN,seyfert
7472,105413,unclassified,unclassified
7473,105414,wAGN,unclassified
7474,105415,SF,SF
7475,105416,sAGN,unclassified
7476,105418,SF,SF
7477,105419,retired,unclassified
7478,105420,unclassified,unclassified
7479,105421,unclassified,unclassified
7480,105422,SF,SF
7481,105423,sAGN,seyfert
7482,105424,wAGN,seyfert
7483,105425,retired,unclassified
7484,105426,SF,composite
7485,105427,retired,unclassified
7486,105428,unclassified,unclassified
7487,105429,SF,unclassified
7488,105430,retired,unclassified
7489,105431,SF,SF
7490,105432,sAGN,composite
7491,105433,SF,SF
7492,105434,unclassified,unclassified
7493,105435,SF,SF
7494,105436,sAGN,seyfert
7495,105437,unclassified,unclassified
7496,105438,unclassified,unclassified
7497,105439,unclassified,unclassified
7498,105440,SF,SF
7499,105441,retired,unclassified
7500,105442,unclassified,unclassified
7501,105443,retired,composite
7502,105444,unclassified,unclassified
7503,105445,SF,SF
7504,105446,retired,unclassified
7505,105447,SF,SF
7506,105448,SF,SF
7507,105449,wAGN,seyfert
7508,105450,sAGN,composite
7509,105451,SF,SF
7510,105452,SF,unclassified
7511,105453,retired,unclassified
7512,105454,retired,unclassified
7513,105455,unclassified,unclassified
7514,105456,SF,SF
7515,105457,unclassified,unclassified
7516,105458,retired,LINERs
7517,105459,SF,unclassified
7518,105460,unclassified,unclassified
7519,105461,retired,LINERs
7520,105462,sAGN,seyfert
7521,105463,SF,SF
7522,105464,sAGN,seyfert
7523,105465,sAGN,composite
7524,105466,sAGN,composite
7525,105467,sAGN,seyfert
7526,105468,SF,seyfert
7527,105469,SF,unclassified
7528,105470,SF,SF
7529,105471,unclassified,unclassified
7530,105472,wAGN,SF
7531,105473,retired,LINERs
7532,105474,SF,SF
7533,105475,passive,unclassified
7534,105476,SF,SF
7535,105477,SF,SF
7536,105478,SF,SF
7537,105479,SF,SF
